,text
62,"Wir verfolgen das Ziel, dass alle Schulen in Deutschland erstklassig ausgestattet sind. Jede*r Schüler*in muss ein digitales Endgerät und Zugang zum Internet zur Verfügung stehen. Mit dem DigitalPakt Schule und dem Konjunkturpaket haben Bund und Länder bereits einen großen Schritt zu einer digitalen Lehrmittelfreiheit getan. Wir werden hier weiter investieren und ein Modernisierungsprogramm des Bundes aufsetzen, das sowohl den Sanierungsbedarf der Schulgebäude als auch die digitale Ausstattung umfasst. Einen besonderen Schwerpunkt werden wir auf die Ganztagsschule legen."
63,"Neben der Infrastruktur brauchen wir auch eine bessere Koordinierung des Unterrichts selbst. Wir brauchen Lehr- und Lernmaterialien für inklusive, ganzheitliche Bildung: Auf einer Open-Source-Plattform, die bereits durch den Digitalpakt beauftragt und finanziert ist, sollen künftig länderübergreifend Lehr- und Lernmaterialien und Unterrichtskonzepte für alle zugänglich sein: offen, dezentral, sicher und vernetzt. Die Förderung der Medienkompetenz von Kindern und Jugendlichen ist dabei ein zentrales Ziel."
64,"Notwendig ist darüber hinaus ein System, das die Qualität der eingestellten Medien auf solchen offenen Plattformen prüft und sichert. Wir werden die Entwicklung datenschutzkonformer intelligenter Lehr- und Lernsoftware unterstützen. Unser Ziel ist es, die Lehr- und Lernprozesse zu individualisieren, Schüler*innen bestmöglich zu fördern, Lehrkräfte fortzubilden und zu entlasten und die Binnendifferenzierung im digitalen) Unterricht zu verbessern. Die Fortbildung von Lehrkräften ist ein Schlüssel zur digitalen Schule. Wir werden deshalb bundesweit vernetzte Kompetenzzentren für digitales Lehren und Lernen aufbauen und unterstützen."
65,"Digitales Lernen ist für uns auch Persönlichkeitsbildung und die Förderung sozialer Kompetenzen. Deshalb werden wir den pädagogischen, stärkenorientierten Ansatz der Kinder- und Jugendhilfe ebenso einbeziehen, wie auch die frühkindliche Bildung und einen Digitalpakt auch für die Kinder- und Jugendhilfe auflegen."
66,"Die Digitalisierung darf die Gesellschaft nicht spalten. Der Zugang zum Netz muss bezahlbar sein. Für Bürger*innen mit geringem Einkommen, für Schüler*innen und Studierende werden wir darum einen Sozialtarif für den Netzzugang schaffen. Zur digitalen Teilhabe gehört die Barrierefreiheit. Alle Bürger*innen sollen zur digitalen Selbstbestimmung befähigt werden. Wir brauchen ein Recht auf digitale Bildung und Weiterbildung für alle Generationen. Gerade die Volkshochschulen sind ideale Orte, um digitale Bildung für alle Bürger*innen zu ermöglichen - kostengünstig, barrierefrei, inklusiv. Wir werden die Volkshochschulen mit einem Förderprogramm des Bundes in ihrer Entwicklung unterstützen."
67,"Wir begrüßen die Überlegungen zu einer europäischen Medienplattform, die die Qualitätsinhalte der öffentlich-rechtlichen Medien Europas für alle Bürger*innen grenzüberschreitend zugänglich macht. Diese Plattform soll in der Folge auch Partnerschaften mit Museen und anderen Kultureinrichtungen zugänglich sein. Ebenfalls begrüßen wir die verstärkte Veröffentlichung von Inhalten unter offenen und freien Lizenzen, um die Nutzung der Inhalte zum Beispiel im Rahmen freier Wissensprojekte Wikipedia) oder auch im Schulunterricht leichter möglich zu machen."
68,"Wir stehen für digitale Souveränität von Bürger*innen und Verbraucher*innen ein. Wo globale Plattformkonzerne zu Monopolisten werden, bedrohen sie digitale Vielfalt und neigen dazu, nationalstaatliche Regeln zu umgehen. Wir werden deshalb gemeinsam mit den EU-Mitgliedsstaaten eine starke und präzise Regulierung schaffen, den Wettbewerb sichern und alternative Angebote fördern. Es braucht mehr Angebote mit hoher Datensouveränität."
69,"Es muss Alternativen zu den großen Plattformen geben – mit echten Chancen für lokale anbieter. Nutzerdaten müssen geschützt sein und die Nutzer*innen müssen darüber bestimmen können, was mit ihren Daten geschieht."
70,"Zu viel Marktmacht einzelner schadet dem Wettbewerb und damit letztlich den Verbraucher*innen. Wir wollen Entwicklungen am Markt voraus sein und ein präventives und proaktives Wettbewerbs- und Kartellrecht schaffen. In das Kartellrecht werden wir verstärkt vorbeugende Kontrollen integrieren. Zudem werden wir weitere neue europäische Instrumente entwickeln, um die übermächtigen Plattformen zu zähmen oder notfalls zu entflechten."
71,"Es muss möglich sein, zwischen verschiedenen Messenger-Diensten, sozialen Netzwerken und digitalen Diensten und Plattformen zu kommunizieren oder zu wechseln. Diese Interoperabilität werden wir gesetzlich vorschreiben."
72,"Wir brauchen in Europa eine selbstbestimmte Entwicklung und Herstellung der notwendigen Komponenten und Bauteile, damit nicht ausschließlich US- und chinesische Hersteller über den Erfolg und die Netzwerksicherheit digitaler Infrastrukturen in Europa entscheiden. Dafür wollen wir einen gemeinsamen Kraftakt in Europa, der eine gemeinsame europäische Entwicklung und Produktion solcher Komponenten strategisch und langfristig aufbaut."
73,"Wir setzen uns für eine gezielte und koordinierte Unterstützung der deutschen und europäischen Digitalwirtschaft auf allen Technologie-Ebenen und entlang der gesamten Wertschöpfungsketten ein: von der Halbleiterfertigung und der Quantentechnologie über die Cloud und Künstliche Intelligenz und Edge-Computing bis zur CyberSicherheit, sicherer und vertrauenswürdiger Hard- und Software sowie Netzwerktechnik und datenbasierten Geschäftsmodellen."
74,Große Bedeutung für europäische Unternehmen kommt hierbei Open Source-basierten Modellen zu. Wir setzen uns ein für eine europäische Cloud-Infrastruktur.
75,"Daten sollen für gemeinwohlorientierte digitale Dienstleistungen und Innovationen nutzbar gemacht werden und nicht nur wenigen großen Daten-Monopolisten zur Verfügung stehen. Wir werden ein Datengesetz schaffen, das das Gemeinwohl in den Mittelpunkt rückt. Dafür werden wir eine vertrauenswürdige Daten-Teilen-Infrastruktur fördern, öffentliche Datentreuhänder einrichten und gleichzeitig dafür sorgen, dass die großen Konzerne ihre Daten für gemeinwohlorientierte Ziele teilen müssen. Wo die öffentliche Hand Aufträge vergibt, muss sie darauf bestehen können, dass die Daten, die im Rahmen des Auftrages erhoben werden, wieder an sie zurückfließen. Wir fördern die Entwicklung von Anonymisierungs Techniken und setzen uns für strafbewehrte Verbote von De-Anonymisierung ein. Der Staat muss beim Datenteilen mit gutem Beispiel vorangehen und einen breiten Datenzugang im Sinne von Open-Data ermöglichen. Wir werden die Behörden dabei unterstützen, das umzusetzen."
76,"Online-Handel und Plattformökonomie verändern den Handel dramatisch. Damit nicht nur die großen Digitalkonzerne profitieren werden wir Plattformen für den regionalen Handel und regionale Dienstleistungen fördern. Der Handel vor Ort darf steuerlich nicht gegenüber dem Onlinehandel in Hintertreffen geraten. Darum haben wir dafür gesorgt, dass digitale Handelsplattformen dafür in Haftung genommen werden, wenn."
77,"Händler*innen, die über die Plattform Geschäfte abwickeln, die Umsatzsteuer nicht zahlen. Wir werden weiterhin konsequent gegen Steuerbetrug im Onlinehandel vorgehen."
78,"Jeden Tag bekommen wir Dinge von Algorithmen vorgeschlagen: Neue Songs, Turnschuhe oder Routen von A nach B. Selbstlernende Systeme und Algorithmen treffen Entscheidungen für eine Vielzahl von Menschen. Sie können unser Leben und unseren Alltag erleichtern. Aber sie müssen transparent und diskriminierungsfrei angelegt werden. Die Zielsetzung einer algorithmischen Entscheidung muss klar und überprüfbar definiert sein. Hierfür brauchen wir eine stringente Regulierung und Aufsicht."
79,"Cybersicherheit ist die Grundlage für eine erfolgreiche Digitalisierung. Das Bundesamt für Sicherheit in der Informationstechnik als zentrale, unabhängige und ausschließlich präventiv ausgerichtete Cybersicherheitsbehörde werden wir stärken und die Verschlüsselungsforschung ausbauen. Wir wollen Hersteller darauf verpflichten, Softwareprodukte, digitale Dienste und technische Geräte so zu konzipieren, dass sie sicher sind (Security by Design) und dass sie bei den Standardeinstellungen die sicherste Variante wählen (Security by Default)."
80,"Das Recht auf informationelle Selbstbestimmung werden wir schützen. Die Datenschutzgrundverordnung ist ein wichtiger Meilenstein und muss in ihrer Durchsetzung praxisnah verbessert werden. Wir brauchen daher gut ausgestattete, effektiv arbeitende Datenschutzaufsichtsbehörden. Privatheit und Datenschutz schaffen Vertrauen und sichern individuelle und kollektive Freiheitsräume. Das Bundesverfassungsgericht hat geurteilt, dass „die Freiheitswahrnehmung der Bürger“ durch die Summe der staatlichen Überwachungsmaßnahmen „nicht total erfasst und registriert werden“ darf. Wir werden ein dauerhaftes, regelmäßiges und unabhängiges Monitoring der Gesetze im Sicherheitsbereich schaffen."
81,Die anonyme und pseudonyme Nutzung des Netzes schützt viele Journalist*innen und Freiheitskämpfer*innen in aller Welt vor Verfolgung und Bedrohung. Wir sind gegen eine Klarnamenpflicht im Netz und setzen uns weiterhin für die Möglichkeit einer anonymen und pseudonymen Nutzung ein. Das ist eine wichtige Voraussetzung für eine freie Meinungsäußerung und der beste Schutz vor Diskriminierungen.
82,"Für den Schutz unserer Demokratie und die Sicherheit Einzelner benötigen wir auch im Netz ein konsequentes Vorgehen gegen Hasskriminalität, Betrug und andere Straftaten. Zur Verfolgung von aus dem oder im Internet begangenen Straftaten braucht es technisch und personell hinreichend ausgestattete Strafverfolgungsbehörden. Bei hinreichenden tatsächlichen Anhaltspunkten auf eine Straftat müssen Verdächtige identifiziert werden können. Wir werden die nationalen Schutzvorschriften im Strafgesetzbuch und Netzwerkdurchsetzungsgesetz weiterentwickeln und setzen uns für verbindliche Regelungen auf europäischer Ebene (Digital Service Act) ein."
83,"Es braucht aber neben den rechtlichen Vorgaben auch ziviles Engagement, um dem Respekt zwischen den Bürger*innen in der digitalen Kommunikation wieder mehr Geltung zu verschaffen. Organisationen, die gegen Hass und Hetze im Netz aktiv sind, sichern wir unsere Unterstützung zu."
84,Zukunftsmission IV. Update für die Gesundheit Der Gesundheitssektor braucht wieder mehr politische Aufmerksamkeit und Reformen. Wir brauchen ein klares Leitbild für die nächsten Jahrzehnte.
85,"Deutschland galt für Jahrzehnte als „Apotheke der Welt“. Die klügsten Forscher*innen fanden sich in deutschen Instituten, dort sammelten sie Nobelpreise, die unumstritten weltbeste Medizinindustrie wurde hierzulande aufgebaut. Deutschland versorgte Kranke in aller Welt mit allen denkbaren Heilmitteln, von Aspirin bis zum Impfstoff gegen Tuberkulose. Durch die Corona-Krise wurde deutlich, dass die Abwanderung der Arzneimittelproduktion ins Ausland und die damit zunehmende Abhängigkeit zu Lieferengpässen oder gar Versorgungsengpässen führen kann."
86,"Deutschland muss wieder seine Innovationskraft einsetzen, um Krankheiten zu bekämpfen. Dass die gezielte Förderung von Innovationen und neuen Methoden erfolgreich sein kann, hat aktuell das Beispiel BioNtech gezeigt. Es zeigt auch, dass die Gesundheitswirtschaft kein reiner Markt ist und eine aktive Rolle des Staates Leben retten kann. Wir sehen es als unserer Pflicht dafür zu sorgen, dass die Medikamente, die hier entwickelt werden, in ärmeren Ländern nicht überteuert und knapp sind."
87,"Eines unserer Ziele ist die Standardisierung der Entwicklungsmethoden der personalisierten Medizin, so dass sie zu erschwinglichen Preisen für alle zugänglich wird. Maßgefertigten Produkte statt Präparate “von der Stange” sind Anfang einer neuen Gesundheitswirtschaft und eine neue Zeit der adaptiven Zulassung von Medikamenten. Personalisierte Medizin bewirkt eine Veränderung im Verhältnis von Behandlung und Diagnostik. In der Zukunft wird es mehr Produkte geben, bei denen ein diagnostischer Test mit einem Medikament als Einheit angeboten wird. Diese Leistungen müssen allen Bürger*innen zur Verfügung stehen - auch bei Medikamenten brauchen wir einen Sicherstellungsauftrag."
88,"Frauen, Männer und Kinder haben besondere gesundheitliche Bedürfnisse, die bei ihrer Gesundheitsversorgung und der Prävention berücksichtigt werden müssen. Doch in der medizinischen Forschung wird zumeist mit Daten von männlichen erwachsenen Probanden geforscht – das werden wir ändern."
89,Eine qualitativ hochwertige Gesundheitsversorgung kann am besten durch eine Neuordnung der Rollenverteilung zwischen ambulantem und stationärem Sektor und durch.
90,Eine Überwindung der Sektorengrenzen gelingen. Wir brauchen darum eine stärkere Öffnung von Krankenhäusern für die ambulante und für teambasierte Formen der Versorgung. Dienstleistungen können dann von niedergelassenen Teams und Krankenhäusern gemeinsam erbracht werden.
91,"Die Corona-Krise hat gezeigt: Der öffentliche Gesundheitsdienst braucht bessere Rahmenbedingungen, eine bessere Ausstattung, auch mit Blick auf die digitale Infrastruktur – Hardware ebenso wie Software, und eine konkurrenzfähige Vergütung."
92,Wir wollen die Potenziale der Digitalisierung für die Verbesserung von Diagnosen und für die flächendeckende gesundheitliche Versorgung entschlossener nutzen. Auch im Gesundheitssektor werden Daten immer wichtiger. Die Digitalisierung kann die Versorgungsqualität und die Effizienz verbessern und Fachkräfte von Aufgaben entlasten.
93,"Wir wollen Datenschutz gewährleisten und geeignete Rahmenbedingungen, damit nicht die großen Plattformen auch die Gesundheitswirtschaft dominieren. Für uns ist aber klar, dass die Digitalisierung unser hervorragendes und engagiertes medizinisches Personal nicht ersetzen wird. Hinter guter medizinischer Versorgung und Pflege stehen immer Menschen. Damit vom Pfleger bis zur niedergelassenen Ärztin alle die digitale Transformation bewältigen können, sind flächendeckende Weiterbildungs- und Unterstützungsangebote unerlässlich."
94,"Ein leistungsfähiges Gesundheitssystem braucht eine stabile und solidarische Finanzierung. Steuerzuschüsse und Investitionsmittel sollten mit klaren Zielvorgaben für die Reform des Systems verbunden werden. Wir werden eine Bürgerversicherung einführen. Das bedeutet: Gleich guter Zugang zur medizinischen Versorgung für alle, eine solidarische Finanzierung und hohe Qualität der Leistungen. Gesundheit ist keine Ware, deshalb müssen in unserem Gesundheitssystem die Bürger*innen im Mittelpunkt stehen. Der Staat muss deshalb sicherstellen, dass die Leistungen der Gesundheitsversorgung den Bedürfnissen derer entsprechen, die sie benötigen. Gute Arbeitsbedingungen und vernünftige Löhne in der Pflege sind dafür eine wichtige Grundlage."
95,"Professionelle Pflege ist ein höchst anspruchsvoller Beruf. Gute Arbeitsbedingungen und vernünftige Löhne sind dafür eine wichtige Grundlage. Maßnahmen zur Überwindung des Personalmangels dürfen nicht dazu führen, dass die Stellen in der Pflege abgewertet werden. Wir wollen die Renditeorientierung im Gesundheitswesen begrenzen, denn sie wirkt sich negativ auf die Versorgung der Patient*innen und die Arbeitsbedingungen der Beschäftigten aus. Gewinne, die aus Mitteln der Solidargemeinschaft erwirtschaftet werden, müssen zumindest mehrheitlich wieder in das Gesundheitssystem zurückfließen. Das System der Fallpauschalen werden wir auf den Prüfstand stellen, die Pauschalen überarbeiten und wo nötig abschaffen. Bei der Stärkung des Gemeinwohls spielen öffentliche Krankenhäuser eine zentrale Rolle."
96,"Den individuellen Bedürfnissen von Kindern und Jugendlichen werden Fallpauschalen nicht gerecht. Sie führen dazu, dass Kinderkliniken außerhalb der Ballungsräume nicht rechnen und geschlossen werden. Deshalb werden wir die Finanzierung der Kinder- und Jugendmedizin neu strukturieren."
97,Insgesamt werden wir für eine bedarfsgerechte Grundfinanzierung der Kliniken und den Erhalt der Versorgung inklusive den Ausbau der integrierten Versorgungszentren in den ländlichen Regionen sorgen.
98,"Wie wir eine zukunftsfähige Wirtschaft fördern wollen Viele bahnbrechende Entwicklungen der vergangenen Jahrzehnte hätte es ohne eine aktive und vorausschauend handelnde Politik nicht gegeben. Die Politik muss die langen Linien und die Richtung beschreiben und sich als Innovationstreiber verstehen. Sie muss die für die Wettbewerbsfähigkeit und die nachhaltige Beschäftigung wesentlichen Ziele formulieren, auf die sich die Kräfte konzentrieren sollen. Wir brauchen den Staat als strategischen Investor, als Ordnungs- und Gestaltungskraft zur Bewältigung der Herausforderungen unserer Zeit. Staat und Verwaltung müssen zum Innovationstreiber werden und ihre Nachfragemacht einsetzen."
99,"Die Investitionen der öffentlichen Hand in wichtige Zukunftsfelder haben eine zentrale Bedeutung. Wir werden das, in dieser Legislaturperiode von uns durchgesetzte, hohe Investitionsniveau des Bundes mit mindestens 50 Milliarden Euro pro Jahr, weiter fortsetzen und zudem dazu beitragen, dass sich alle staatlichen Ebenen mit großer Investitionskraft beteiligen. Ein zentraler Akteur beim Investitionsgeschehen sind die Kommunen – ihre Investitionskraft müssen wir erhalten und stärken. Dazu brauchen wir flächendeckend starke und handlungsfähige Kommunen. Im Zuge der Corona-Pandemie haben wir bereits weitere Schritte getan, um Kommunen von Sozialausgaben zu entlasten. Ein nötiger Schritt ist, den besonders hoch verschuldeten Kommunen einmalig hohe Altschulden abzunehmen. Zudem werden wir das Problem der Altschulden vor allem ostdeutscher Wohnungsbaugesellschaften lösen."
100,"In Deutschland werden gegenwärtig jährlich über 300 Milliarden Euro im Rahmen der öffentlichen Auftragsvergabe umgesetzt. Gerade die öffentliche Hand muss als große Abnehmerin von Produkten und Dienstleistungen Verantwortung übernehmen. Wir werden die öffentliche Beschaffung so ausrichten, dass sie Innovationsimpulse setzt und den Zielen des sozial-ökologischen Wandels dient. Hierfür sollten die Vergabekriterien stärker auf Innovation, Tarifbindung, Geschlechtergerechtigkeit und klimafreundliche Nachhaltigkeit ausgerichtet werden. Produktentwicklungen müssen sich auf den Staat als Nachfrager verlassen können."
101,"Wir müssen besser darin werden, aus Ideen auch Produkte und Dienstleistungen zu machen und Start-ups zu fördern. Wir werden dabei die Erkenntnisse aus der Forschung schneller und breiter in Innovationen und Investitionen übersetzten."
102,"Eine wichtige Rolle nimmt dabei die Kreditanstalt für Wiederaufbau (KfW) ein, die Mittel am Kapitalmarkt aufnimmt und diese zusammen mit den Förderbanken der Länder in strategisch wichtige Zukunftsbranchen lenkt, die den sozial-ökologischen Umbau der Wirtschaft unterstützt und auch Start-ups fördert. Wir werden sie zu einer modernen Innovations- und Investitionsagentur weiterentwickeln."
103,"Wir stehen an der Seite der vielen Unternehmen, die ihre soziale, gesellschaftliche und ökologische Verantwortung ernst nehmen. Das Handwerk ist der entscheidende Partner damit die Klimawende vor Ort gelingt. Wir werden das Handwerk fördern, indem wir Gebühren für Techniker*innen- und Meister*innenkurse abschaffen und uns für die Tarifbindung im Handwerk einsetzen. Wir unterstützen das Handwerk in dem Bemühen, mit neuen Ausbildungskonzepten dem Fachkräftemangel zu begegnen und berufliche Ausbildung praxisnah mit Schule und Hochschule zu verknüpfen. Wir fördern und erkennen die Rolle des Handwerks bei der Ausbildung und Integration junger Menschen aus allen Teilen der Welt an."
104,"Start-up-Unternehmen sind wichtige Wachstumsmotoren für die Wirtschaft. Wir wollen Deutschland zu einem führenden Start-up-Standort Europas machen, und so hochwertige Arbeitsplätze in den Regionen schaffen. Um mehr Unternehmensgründungen anzuregen und mittelständischen Unternehmen eine sinnvolle Nachfolgeplanung zu ermöglichen, setzten wir auf drei Kernpunkte: Organisatorische Unterstützung wie One-Stop-Agenturen für Gründer*innen, erleichterter Zugang zu Kapital durch Projektförderung sowie öffentliche Fonds für Wagniskapital und eine “Kultur der zweiten Chance”, auch im Insolvenzrecht. Existenzgründungen von Frauen und in der Fläche werden wir mit eigenen Programmen gezielt fördern."
105,"Wir wollen Unternehmen unterstützen, für die der Sinn ihrer wirtschaftlichen Aktivität und der langfristige Bestand ihres Unternehmens wichtiger sind als der kurzfristige Gewinn. Dazu werden wir eine nationale Strategie für die Förderung gemeinwohlorientierter Unternehmen und sozialer Innovationen entwickeln. Die rechtlichen Rahmenbedingungen für gemeinwohlorientiertes Wirtschaften, wie zum Beispiel für Genossenschaften, Sozialunternehmen, Integrationsunternehmen und Unternehmen in Verantwortungseigentum, werden wir verbessern. Für die Förderung einer sozialökologischen und digitalen Transformation unserer Wirtschaft gibt es bereits dezentrale Strukturen – wir wollen sie zu Transformationszentren als Werkstätten des Wandels bündeln und weiterentwickeln, die sich sowohl an etablierte Unternehmen als auch an Sozialunternehmen und nicht-exit-orientierte Start-ups sowie an Beschäftigte, Gewerkschaften und Zivilgesellschaft richten."
106,"Solidarität werden wir weiterhin den Wirtschaftsbereichen zukommen lassen, die in der Corona-Pandemie zugunsten der Gesundheit aller besondere Einbußen hinnehmen mussten. Das gilt für die Kulturwirtschaft, ebenso für die Tourismuswirtschaft, inklusive des Hotel- und Gaststättenwesens, die nach der Pandemie andere sein werden als zuvor. Viel stärker als bisher wird sich der Fokus auf den inländischen Tourismus richten. Darin steckt eine Chance, diesen zentralen Wirtschaftszweig nachhaltig, klimabewusst und modern auszurichten."
107,"Wie wir Wissenschaft und Forschung innovativ und zukunftsfähig halten um auch in Zukunft innovativ zu bleiben, werden wir die Stärken des deutschen Wissenschaftssystems in seiner ganzen Breite und Vielfalt und seiner internationalen Ausrichtung erhalten und weiterentwickeln. Dazu fördern wir Zukunftstechnologien wie zum Beispiel Quantentechnik, Künstliche Intelligenz, Alternativverfahren zu Tierversuchen und Wasserstoff an vielen Orten im Land."
108,"Wir werden die Universitäten und Hochschulen dabei unterstützen, die Digitalisierung voranzutreiben, Innovationen in guter Lehre fördern und zugleich ihre forschungspolitische Bedeutung, die weit in die jeweiligen Regionen ausstrahlt, stärken. Die Exzellenzstrategie entwickeln wir weiter und ergänzen sie um die Unterstützung regionaler Kooperationen von Hochschulen und Forschungseinrichtungen. Das wird auch dazu beitragen, dass die ausgezeichnete Forschungslandschaft, die die ostdeutschen Länder in den vergangenen Jahrzehnten aufgebaut haben, ihr Exzellenzpotential weiter entfalten kann, insbesondere in Bezug auf die Erforschung innovativer Technologien."
109,Die Gleichstellung von Frauen wollen wir weiter stärken und durch eine Reform des Wissenschaftsarbeitszeitvertragsgesetzes für gute Arbeit in der Wissenschaft sorgen.
110,"Wir haben den Zielwert gesamtstaatlicher, also öffentlicher und privater Ausgaben für Forschung und Entwicklung, von drei Prozent des BIP bereits in den letzten Jahren übertroffen und wollen ihn weiter auf mindestens 3,5 Prozent steigern. Wir werden dazu die Innovationsförderung aufstocken, die Forschung in die mittelständische Praxis mit Partnerschafts- und Kooperationsförderungen vorantreiben und die Förder- und Kreditprogramme für den Mittelstand im Bereich Umwelt-, Klima- und Ressourcenschutz ausbauen. Kleine und mittlere Unternehmen (KMU) werden einen niederschwelligen Zugang zu Fördermitteln erhalten."
111,Eine besondere Bedeutung kommt dem Austausch von wissenschaftlichen Erkenntnissen mit der Gesellschaft zu. Wir werden deshalb mehr Fördergelder für Open Science und Wissenschaftskommunikation bereithalten.
112,"Damit Europa im internationalen technologischen Wettbewerb bestehen und seine souveränität behaupten kann, werden wir in der Europäischen Union gemeinsam weiter geschlossen vorangehen. Wir setzen uns für ein neu geordnetes Wettbewerbs- und Beihilferecht ein, dass Wettbewerbsnachteile gegenüber anderen großen Wirtschaftsräumen verringert. Die sozial-ökologische Transformation erfordert umfangreiche Investitionen in den klimaneutralen Umbau industrieller Wertschöpfungsketten. Das Beihilferecht muss es dem Staat ermöglichen, den nötigen Kapitaleinsatz in den Unternehmen mit öffentlichen Mitteln zu unterstützen und auf diese Weise Arbeitsplätze zu erhalten."
113,"Wie wir unsere Politik finanzieren wollen die Corona-Pandemie hat gravierende Auswirkungen. Auch auf die öffentlichen Haushalte. Während die Steuereinnahmen zurückgehen, sind die staatlichen Ausgaben gestiegen. Eine Politik der Austerität nach der Krise wäre ein völlig falscher Weg. Wer diesen Weg verfolgt, setzt unsere Zukunft aufs Spiel oder will harte Einschnitte in den Sozialstaat. Wir stehen für eine Finanz- und Haushaltspolitik, die die großen Zukunftsinvestitionen finanziert und so zukunftsfähige Arbeitsplätze schafft, ein klimaneutrales Wachstum ermöglicht und den gesellschaftlichen Zusammenhalt stärkt."
114,"Daher gilt für uns: Die Finanzierung der in diesem Regierungsprogramm formulierten Schwerpunkte stellen wir sicher. Dazu werden wir die verfassungsrechtlich möglichen Spielräume zur Kreditaufnahme nutzen. Die gerechte Verteilung von Einkommen und Vermögen ist eine Grundvoraussetzung für den Zusammenhalt unserer Gesellschaft. Die extrem ungleiche Verteilung von Einkommen und Vermögen ist nicht nur sozialpolitisch bedenklich, sie ist auch ökonomisch unvernünftig. Die hohe und weiterwachsende Konzentration des Vermögens auf einige Hochvermögende verhindert nachhaltiges Wachstum und verschenkt wertvolle Potenziale."
115,"Wir werden der Steuergerechtigkeit Geltung verschaffen – Steuerhinterziehung ist kein Kavaliersdelikt. Gegen Steuerhinterziehung, Steuervermeidung und Steuerbetrug werden wir konsequent vorgehen. Wir haben grenzüberschreitende Steuergestaltungsmodelle der Anzeigepflicht unterworfen und werden eine nationale Anzeigepflicht einführen. Wir werden die Umgehung der Grunderwerbsteuer (Share Deals) beenden. Der Umsatzsteuerbetrug bei Karussellgeschäften auf europäischer Ebene muss beendet werden. Die öffentliche Transparenz ist ein gutes Mittel, um Unternehmen in die Pflicht zu nehmen. Wir werden Steuervermeidung mit einem öffentlichen Reporting großer, international agierender Unternehmen eindämmen (Public Country-by-Country Reporting)."
116,"Die Besteuerung von Einkommen werden wir gerechter gestalten. Das aktuelle Steuersystem nimmt gerade mittlere Einkommen zu stark in Anspruch. Die finanziellen Lasten der Krisenbewältigung dürfen für die ohnehin stark strapazierte große Mehrheit der Bürger*innen nicht zu einer steuerlichen Mehrbelastung führen. Im Gegenteil: Wir wollen die Steuern für die Mehrheit senken. Wir werden eine Einkommensteuerreform vornehmen, die kleine und mittlere Einkommen besserstellt, die Kaufkraft stärkt und."
117,Dafür im Gegenzug die oberen fünf Prozent stärker für die Finanzierung der wichtigen öffentlichen Aufgaben heranzieht.
118,"Für diejenigen, die besonders viel verdienen, halten wir zudem an dem Aufschlag von drei Prozentpunkten zur Einkommensteuer fest. Er soll künftig bei Verheirateten für den zu versteuernden Einkommensanteil oberhalb von 500. 000 Euro im Jahr, bei Ledigen ab 250. 000 Euro im Jahr gelten."
119,"Den Solidaritätszuschlag haben wir für die allermeisten Bürger*innen abgeschafft. Die Einnahmen aus dem verbliebenen Solidaritätszuschlag, den nur noch die Spitzenverdiener*innen zahlen, werden wir weiter brauchen. Er ist ein gerechter Beitrag zu einem stabilen Gemeinwesen, das allen nutzt."
120,Das geltende Steuerrecht befördert die klassische Arbeitsteilung zwischen Männern und Frauen. Das werden wir ändern und das Steuerrecht stärker auf Partnerschaftlichkeit ausrichten. Das Ehegattensplitting bildet die gesellschaftliche Realität nicht mehr ab und schließt viele Haushalte mit Kindern von dem gewährten Steuervorteil aus. Nutznießer sind stattdessen vor allem Alleinverdiener-Ehepaare mit hohen Einkommen unabhängig von der Kinderzahl. Wir werden das Ehegattensplitting für neu geschlossene Ehen ändern. Die allermeisten Haushalte mit Kindern werden durch die Kindergrundsicherung finanziell bessergestellt werden. Normalverdienende auch ohne Kinder werden keine Einbußen erleiden. Für bestehende Ehen werden wir zudem ein Wahlrecht einführen.
121,"Die steuerliche Abzugsfähigkeit von Manager*innengehältern werden wir begrenzen, und zwar auf das 15-fache des Durchschnittseinkommens der Beschäftigten in dem Betrieb, in dem die Manager*in beschäftigt ist."
122,"Bislang gilt bei förderwürdigen Aufwendungen wie zum Beispiel Spenden: Je höher das Einkommen, desto höher die Steuerrückerstattung. Zukünftig soll jede*r eine einkommensunabhängige Steuerminderung erhalten."
123,"Wir wollen die Vermögensteuer wieder in Kraft setzen, auch um die Finanzkraft der Länder für wichtige Zukunftsaufgaben zu verbessern. Wer sehr viel Vermögen hat muss einen größeren Beitrag zur Finanzierung unseres Gemeinwesens leisten. Deshalb werden wir unter anderem einen maßvollen, einheitlichen Steuersatz von einem Prozent für sehr hohe Vermögen einführen. Gleichzeitig wird es hohe persönliche Freibeträge geben, so dass sich die Steuerbelastung auf besonders vermögende Teile der Bevölkerung konzentriert. Wir stellen sicher, dass mit der Vermögenssteuer keine Arbeitsplätze gefährdet werden. Die Grundlage von Betrieben wird bei der Vermögenssteuer verschont."
124,"Die Erbschaftssteuer ist reformbedürftig. In ihrer gegenwärtigen Form ist sie ungerecht, da sie vermögende Unternehmenserben bevorzugt. Mit einer effektiven Mindestbesteuerung werden wir die Überprivilegierung großer Betriebsvermögen abschaffen. Auch für vermögenshaltende Familienstiftungen werden wir eine Mindestbesteuerung einführen."
125,"Wir werden eine Finanztransaktionssteuer einführen, möglichst im Einklang mit unseren europäischen Partnern. Zugleich werden wir die von uns maßgeblich mit unterstützten."
